split,galaxy,cut_category,threshold,patches,positive_patches,negative_patches,patch_tp,patch_fp,patch_fn,patch_tn,pixel_tp,pixel_fp,pixel_fn,patch_precision,patch_recall,patch_f1,pixel_precision,pixel_recall,pixel_f1
test,ngc_7793,angle_offset_+45deg,0.05,54,54,0,54,0,0,0,7976,30606,2464,1.0,1.0,1.0,0.20672852625576693,0.7639846743295019,0.3254049202398923
test,ngc_7793,angle_offset_+45deg,0.075,54,54,0,54,0,0,0,7904,29518,2536,1.0,1.0,1.0,0.2112126556571001,0.757088122605364,0.33028289666123434
test,ngc_7793,angle_offset_-22.5deg,0.05,54,54,0,54,0,0,0,8656,33072,1650,1.0,1.0,1.0,0.20743865030674846,0.8398990879099554,0.3327055386862436
test,ngc_7793,angle_offset_-22.5deg,0.075,54,54,0,54,0,0,0,8606,31748,1700,1.0,1.0,1.0,0.21326262576200625,0.835047545119348,0.339755230951441
test,ngc_7793,angle_offset_-45deg,0.05,54,54,0,54,0,0,0,9778,36506,1138,1.0,1.0,1.0,0.2112609108979345,0.895749358739465,0.3418881118881119
test,ngc_7793,angle_offset_-45deg,0.075,54,54,0,54,0,0,0,9732,35114,1184,1.0,1.0,1.0,0.21700932078669224,0.8915353609380725,0.34905491194720417
test,ngc_7793,background_random_negative,0.05,216,8,208,8,64,0,144,694,22280,398,0.1111111111111111,1.0,0.19999999999999998,0.03020806128667189,0.6355311355311355,0.0576747278317959
test,ngc_7793,background_random_negative,0.075,216,8,208,8,62,0,146,694,21322,398,0.11428571428571428,1.0,0.20512820512820512,0.03152252906976744,0.6355311355311355,0.06006577808551151
test,ngc_7793,centered_positive__galaxy_major,0.05,54,54,0,54,0,0,0,8808,34660,2516,1.0,1.0,1.0,0.2026318211097819,0.7778170257859414,0.32150678931230836
test,ngc_7793,centered_positive__galaxy_major,0.075,54,54,0,54,0,0,0,8750,33530,2574,1.0,1.0,1.0,0.20695364238410596,0.7726951607205934,0.3264681740168644
test,ngc_7793,centered_positive__galaxy_minor,0.05,54,54,0,54,0,0,0,8696,27722,1616,1.0,1.0,1.0,0.2387830193860179,0.843289371605896,0.3721806120265354
test,ngc_7793,centered_positive__galaxy_minor,0.075,54,54,0,54,0,0,0,8588,26554,1724,1.0,1.0,1.0,0.24437994422628195,0.8328161365399535,0.3778765345184143
test,ngc_7793,centered_positive__shell_major,0.05,54,54,0,54,0,0,0,9942,28100,2618,1.0,1.0,1.0,0.26134272646022816,0.7915605095541401,0.392948895300581
test,ngc_7793,centered_positive__shell_major,0.075,54,54,0,54,0,0,0,9884,27010,2676,1.0,1.0,1.0,0.26790263999566327,0.7869426751592357,0.39972499696687835
test,ngc_7793,centered_positive__shell_minor,0.05,54,54,0,54,0,0,0,9124,36430,1964,1.0,1.0,1.0,0.20028976599200948,0.8228715728715729,0.322163765403764
test,ngc_7793,centered_positive__shell_minor,0.075,54,54,0,54,0,0,0,9052,35196,2036,1.0,1.0,1.0,0.2045742180437534,0.8163780663780664,0.3271649559057395
test,ngc_7793,fine_grid_deployment_like,0.05,190,22,168,22,54,0,114,1906,25298,364,0.2894736842105263,1.0,0.4489795918367347,0.07006322599617704,0.839647577092511,0.12933432856076543
test,ngc_7793,fine_grid_deployment_like,0.075,190,22,168,22,50,0,118,1888,24294,382,0.3055555555555556,1.0,0.46808510638297873,0.07211061034298373,0.8317180616740089,0.13271474764515676
test,ngc_7793,random_nearby_grazing,0.05,108,108,0,108,0,0,0,11386,61200,3776,1.0,1.0,1.0,0.15686220483288787,0.7509563382139559,0.25951588640196926
test,ngc_7793,random_nearby_grazing,0.075,108,108,0,108,0,0,0,11288,58766,3874,1.0,1.0,1.0,0.16113284038027806,0.7444928109748055,0.26492677431468264
